,正式名称,id,年,所属,ライセンス,営業収入,スポンサー収入,入場料収入,Jリーグ配分金,アカデミー関連収入,女子チーム関連収入,物販収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,その他売上原価,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,関連する法人の営業収入,流動資産,固定資産等,総資産(資産の部),流動負債,固定負債,総負債(負債の部),資本金,資本剰余金等,利益剰余金,純資産(純資産の部),順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,年間総入場者数,年間ホーム試合数
松本,松本山雅FC,27,2023,J3,J1,1456,780,276,70,24,0,153,153,1671,518,244,182,89,0,91,117,430,-215,25,0,-190,0,14,-204,1,-205,143,678,294,972,227,199,426,212,0,334,546,9,54,1.4211,155441,19,0,0,0,0,0,0,155441,19
長野,AC長野パルセイロ,47,2023,J3,J2,741,338,69,20,43,173,15,83,838,190,49,106,71,140,0,0,282,-97,0,1,-98,0,0,-98,0,-98,Null,229,16,245,91,84,175,127,102,-159,70,14,50,1.3158,67025,19,0,0,0,0,0,0,67025,19
富山,カターレ富山,48,2023,J3,J1,786,490,54,23,92,0,66,61,823,244,62,128,116,0,42,0,231,-37,1,0,-36,0,0,-36,0,-36,Null,134,4,138,131,5,136,139,70,-207,2,3,62,1.6316,65443,19,0,0,0,0,0,0,65443,19
沼津,アスルクラロ沼津,50,2023,J3,J2,511,309,32,19,43,0,54,54,517,170,38,79,22,0,44,0,164,-6,9,2,1,0,0,1,0,1,196,200,89,289,158,106,264,96,16,-87,25,13,51,1.3421,37252,19,0,0,0,0,0,0,37252,19
岐阜,FC岐阜,30,2023,J3,J1,904,477,90,24,78,0,96,139,973,358,114,85,88,0,76,93,159,-69,3,1,-67,0,0,-67,0,-67,Null,426,3,429,235,97,332,50,688,-641,97,8,54,1.4211,89934,19,0,0,0,0,0,0,89934,19
FC大阪,FC大阪,59,2023,J3,J3,559,404,16,19,18,1,12,89,558,156,120,41,11,2,4,1,223,1,1,1,1,0,0,1,0,1,Null,171,23,194,65,48,113,30,26,25,81,11,53,1.3947,51447,19,0,0,0,0,0,0,51447,19
奈良,奈良クラブ,60,2023,J3,J2,429,215,38,21,58,0,28,69,419,163,15,32,57,0,20,5,127,10,6,0,16,0,0,16,0,16,54,135,8,143,68,57,125,68,0,-50,18,5,57,1.5000,33830,19,0,0,0,0,0,0,33830,19
鳥取,ガイナーレ鳥取,51,2023,J3,J2,469,193,39,23,50,0,58,106,533,149,23,61,36,0,7,0,257,-64,5,6,-65,0,2,-67,1,-68,Null,23,235,258,177,385,562,231,167,-702,-304,6,56,1.4737,43325,19,0,0,0,0,0,0,43325,19
讃岐,カマタマーレ讃岐,34,2023,J3,J1,424,194,35,21,43,0,35,96,515,143,44,88,67,0,23,0,150,-91,5,3,-89,141,0,52,0,52,11,141,200,341,138,97,235,100,100,-94,106,16,44,1.1579,39187,19,0,0,0,0,0,0,39187,19
愛媛,愛媛FC,36,2023,J3,J1,860,389,58,66,93,89,66,99,881,272,37,116,131,70,47,0,208,-21,24,1,2,0,0,2,1,1,Null,225,135,360,89,21,110,409,-1,-158,250,1,73,1.9211,69811,19,0,0,0,0,0,0,69811,19
今治,FC今治,56,2023,J3,J2,1292,744,78,25,41,0,61,343,1494,420,143,178,97,30,29,38,559,-202,23,2,-181,0,3,-184,1,-185,188,797,1399,2196,297,329,626,50,1638,-118,1570,4,59,1.5526,70510,19,0,0,0,0,0,0,70510,19
北九州,ギラヴァンツ北九州,52,2023,J3,J1,933,487,83,62,107,0,60,134,1034,285,76,106,173,0,52,125,217,-101,1,1,-101,0,16,-117,0,-117,Null,224,128,352,77,200,277,31,124,-80,75,20,31,0.8158,73288,19,0,0,0,0,0,0,73288,19
宮崎,テゲバジャーロ宮崎,57,2023,J3,J2,218,110,22,20,9,0,14,43,382,144,36,60,24,0,18,0,100,-164,1,0,-163,0,0,-163,0,-163,Null,90,12,102,17,0,17,100,143,-158,85,19,39,1.0263,29493,19,0,0,0,0,0,0,29493,19
鹿児島,鹿児島ユナイテッドFC,53,2023,J3,J1,886,437,79,23,0,0,150,197,922,267,95,173,0,0,82,0,305,-36,2,4,-38,0,0,-38,0,-38,136,211,56,267,89,139,228,78,77,-116,39,2,62,1.6316,112184,19,0,0,0,0,0,0,112184,19
琉球,FC琉球,54,2023,J3,J1,512,169,34,82,93,0,49,85,904,314,77,109,125,4,31,3,241,-392,12,6,-386,0,0,-386,0,-386,Null,431,10,441,54,93,147,98,221,-25,294,17,43,1.1316,48144,19,0,0,0,0,0,0,48144,19
